n, k, time (sec), pre-rewrite (bits), post-rewrite (bits)
2, 1, 0.0002672300033736974, 2234, 1040
3, 1, 0.0005081399867776781, 4669, 2281
3, 2, 0.0008825900149531662, 8317, 4138
4, 1, 0.001358311012154445, 7916, 3936
4, 2, 0.0018188999965786934, 17648, 8892
4, 3, 0.0024268609995488077, 24132, 12192
5, 1, 0.0013881899940315634, 11975, 6005
5, 2, 0.0032125709985848516, 32255, 16335
5, 3, 0.0056934010062832385, 52525, 26655
5, 4, 0.013009223010158166, 62655, 31810
6, 1, 0.001703030982753262, 16846, 8488
6, 2, 0.005659351008944213, 53356, 27088
6, 3, 0.010521732998313382, 102016, 51868
6, 4, 0.013940992997959256, 138496, 70438
6, 5, 0.04036795799038373, 153082, 77860
7, 1, 0.0022445900249294937, 22529, 11385
7, 2, 0.008450451015960425, 82169, 41772
7, 3, 0.018845024023903534, 181534, 92382
7, 4, 0.028748546028509736, 280864, 142957
7, 5, 0.035837347008055076, 340441, 173281
7, 6, 0.0372583870193921, 360293, 183382
8, 1, 0.002883511013351381, 29024, 14696
8, 2, 0.012145232991315424, 119912, 61008
8, 3, 0.031226855993736535, 301632, 153576
8, 4, 0.05619325098814443, 528712, 269216
8, 5, 0.07570344599662349, 710320, 361672
8, 6, 0.12683448501047678, 801096, 407872
8, 7, 0.13359813700662926, 827024, 421064
9, 1, 0.0036034209770150483, 36331, 18421
9, 2, 0.017350812995573506, 167803, 85417
9, 3, 0.05056060999049805, 474487, 241657
9, 4, 0.10022905998630449, 934387, 475891
9, 5, 0.22608330499497242, 1394161, 709999
9, 6, 0.28413691799505614, 1700593, 865987
9, 7, 0.30546204099664465, 1831885, 932803
10, 1, 0.004495122004300356, 44450, 22560
10, 2, 0.022930054983589798, 227060, 115620
10, 3, 0.11829873401438817, 713900, 363660
10, 4, 0.26317017301335, 1565660, 797520
10, 5, 0.601047431002371, 2587520, 1317900
10, 6, 0.8216631860123016, 3438860, 1751340
10, 7, 0.9394113400194328, 3925220, 1998900
11, 1, 0.00541434099432081, 53381, 27113
11, 2, 0.03231810699799098, 298901, 152238
11, 3, 0.17393912500119768, 1035296, 527448
11, 4, 0.43157208600314334, 2507756, 1277538
11, 5, 1.119176954991417, 4568738, 2327202
11, 6, 1.1677274950197898, 6629258, 3376404
11, 7, 2.0368578499765135, 8100728, 4125504
