n, time (sec), pre-rewrite (bits), post-rewrite (bits)
2, 9.883000166155398e-05, 610, 212
4, 0.00017029998707585037, 1420, 624
8, 0.00032699000439606607, 3040, 1448
16, 0.0006883199966978282, 6280, 3096
32, 0.0012904299946967512, 12760, 6392
64, 0.002622131025418639, 25720, 12984
128, 0.005134941020514816, 51640, 26168
256, 0.010778572002891451, 103480, 52536
512, 0.020647013996494934, 207160, 105272
1024, 0.06815682302112691, 414520, 210744
2048, 0.13140669601853006, 829240, 421688
4096, 0.2680011229822412, 1658680, 843576
8192, 0.7588238930038642, 3317560, 1687352
