best-d,best,base+g,base
289,218,390,444
289,218,390,444
289,218,390,444
289,218,390,444
289,218,391,444
289,218,391,445
289,218,391,445
289,218,391,445
289,218,391,445
289,218,391,445
289,218,391,445
289,218,391,445
289,218,391,445
289,218,391,445
289,218,391,445
289,218,391,445
289,218,392,445
289,218,392,446
289,218,392,446
289,218,392,446
289,218,392,446
289,218,392,446
289,218,392,446
289,218,392,446
289,218,392,446
289,218,392,446
289,218,393,446
289,218,393,446
289,218,393,447
289,218,393,447
289,218,393,447
289,218,393,447
289,218,393,447
289,218,393,447
289,218,393,447
289,218,393,447
289,218,393,447
289,218,393,447
289,218,394,447
289,218,394,447
289,218,394,448
289,218,394,448
290,218,394,448
290,218,394,448
290,218,394,448
290,218,394,448
290,218,394,448
290,218,394,448
290,218,394,448
290,218,394,448
290,218,395,448
290,218,395,449
290,218,395,449
290,218,395,449
290,218,395,449
290,218,395,449
290,218,395,449
290,218,395,449
290,218,395,449
290,218,395,449
290,218,395,449
290,218,395,449
290,218,396,450
290,218,396,450
290,218,396,450
290,218,396,450
290,218,396,450
290,218,396,450
290,218,396,450
290,218,396,450
290,218,396,450
290,218,396,450
290,218,397,450
290,218,397,450
290,218,397,451
290,218,397,451
290,218,397,451
290,218,397,451
290,218,397,451
290,218,397,451
290,218,397,451
290,218,397,451
290,218,397,451
290,218,397,451
290,218,398,451
290,218,398,452
290,218,398,452
290,218,398,452
290,218,398,452
290,218,398,452
290,218,398,452
290,218,398,452
290,218,398,452
290,218,398,452
290,218,398,452
290,218,398,452
290,218,399,453
290,218,399,453
290,218,399,453
290,218,399,453
290,218,399,453
290,218,399,453
290,218,399,453
290,218,399,453
290,218,399,453
290,218,399,453
290,218,400,453
290,218,400,454
290,218,400,454
290,218,400,454
290,218,400,454
290,218,400,454
290,218,400,454
290,218,400,454
290,218,400,454
290,218,400,454
290,218,402,454
290,218,402,454
290,218,402,455
290,218,402,455
290,218,402,455
290,218,402,455
290,218,402,455
290,218,402,455
290,218,402,455
290,218,402,455
290,218,402,455
290,218,402,455
290,218,403,457
290,218,403,457
290,218,403,457
290,218,403,457
290,218,403,457
290,218,403,457
290,218,403,457
290,218,403,459
290,218,403,459
290,218,403,459
290,218,404,459
290,218,404,459
290,218,404,459
290,218,404,459
290,218,404,461
290,218,404,461
290,218,404,461
290,218,404,461
290,218,404,461
290,218,404,461
290,218,404,461
290,218,406,461
290,218,406,462
290,218,406,462
290,218,406,463
290,218,406,463
290,218,407,463
290,218,407,463
290,218,407,463
290,218,407,463
290,218,407,463
290,218,407,464
290,218,407,464
290,218,407,464
290,218,407,464
290,218,407,464
290,218,408,464
290,218,408,464
290,218,408,464
290,218,408,465
290,218,408,465
290,218,408,465
290,218,408,465
291,218,408,465
291,218,408,465
291,218,408,467
291,218,410,467
291,218,410,467
291,218,410,467
291,218,410,467
291,218,410,467
291,218,410,468
291,218,410,468
291,218,410,468
291,218,410,468
291,218,410,468
291,218,411,468
291,218,411,468
291,218,411,468
291,218,411,468
291,218,411,468
291,218,411,468
291,218,411,469
291,218,411,469
291,218,411,469
291,218,411,469
291,218,411,469
291,218,411,469
291,218,412,469
291,218,412,469
291,218,412,469
291,218,412,470
291,218,412,470
291,218,412,470
291,218,412,470
291,218,412,470
291,218,412,470
291,218,412,470
291,218,413,470
291,218,413,471
291,218,413,471
291,218,413,471
291,218,413,471
291,219,413,471
291,221,414,471
291,221,414,471
291,221,414,471
293,221,414,473
293,221,414,473
293,221,414,473
293,221,414,473
293,221,414,473
293,221,414,473
293,221,414,473
293,221,414,475
293,221,414,475
293,221,415,475
293,221,415,475
293,221,415,475
293,221,415,475
293,221,415,477
293,221,415,477
