benchmark number,best/f-time,best/f-properties,best-time,best-properties,base+g-time,base+g-properties,best-d-time,best-d-properties,best/f-d-time,best/f-d-properties,base-time,base-properties
1,0,46,0,46,0,46,0,46,0,46,0,46
2,6,195,6,200,6,201,6,200,6,198,4,201
3,6,237,6,242,6,243,6,242,6,240,5,243
4,6,1683,6,1688,7,1689,7,1688,6,1686,6,1689
5,6,1703,6,1708,8,1709,7,1708,6,1706,6,1709
6,6,1960,6,1965,8,1966,7,1965,7,1963,7,1966
7,12,1986,12,1991,14,1991,13,1989,13,1989,13,1992
8,18,1988,18,1993,20,1992,19,1991,19,1991,19,1993
9,18,2034,18,2039,21,2038,19,2037,19,2037,19,2039
10,18,2102,18,2107,21,2106,19,2105,19,2105,19,2107
11,19,2308,19,2313,23,2312,21,2311,20,2311,20,2313
12,20,2445,19,2450,23,2449,21,2448,21,2448,21,2450
13,20,2510,19,2515,23,2514,21,2513,21,2513,21,2515
14,26,2511,25,2516,29,2515,27,2514,27,2514,26,2516
15,32,2576,31,2581,35,2580,33,2579,33,2579,32,2581
16,32,2608,31,2613,35,2612,33,2611,33,2611,32,2613
17,33,3128,32,3133,36,3132,33,3131,34,3131,33,3133
18,34,3160,33,3165,38,3164,36,3163,36,3163,35,3165
19,34,3305,33,3310,39,3309,36,3308,36,3308,35,3310
20,37,3354,34,3359,40,3358,37,3357,37,3357,37,3359
21,37,3385,34,3390,40,3389,37,3388,37,3388,37,3390
22,37,3429,34,3434,40,3433,37,3432,38,3432,37,3434
23,37,3455,34,3460,40,3459,37,3458,38,3458,37,3460
24,43,3696,37,3701,43,3700,40,3699,41,3699,40,3701
25,43,3712,38,3717,43,3716,40,3715,41,3715,40,3717
26,49,3714,38,3783,43,3782,40,3781,41,3781,40,3783
27,49,3787,38,3856,43,3855,40,3854,41,3854,40,3856
28,49,3797,38,3866,44,3865,41,3864,41,3864,41,3866
29,49,3884,38,3953,44,3952,41,3951,41,3951,41,3953
30,49,4105,38,4174,44,4173,41,4172,41,4172,41,4174
31,50,4169,38,4238,44,4237,41,4236,41,4236,41,4238
32,50,4242,38,4311,44,4310,41,4309,41,4309,41,4311
33,50,4251,38,4320,45,4319,41,4318,41,4318,41,4320
34,56,4902,44,5012,51,5011,47,4969,47,5018,46,4967
35,56,4918,44,5028,51,5027,47,4985,47,5034,47,4983
36,56,4950,44,5060,51,5059,47,5017,47,5066,47,5015
37,56,5078,44,5188,51,5187,47,5145,48,5194,47,5143
38,56,5118,44,5228,51,5227,47,5185,48,5234,47,5183
39,56,5375,44,5485,52,5484,47,5442,48,5491,47,5440
40,56,5561,44,5671,52,5670,47,5628,48,5677,47,5626
41,56,5577,44,5687,52,5686,48,5644,48,5693,47,5642
42,56,5701,44,5811,52,5810,48,5768,48,5817,48,5766
43,56,5782,44,5892,52,5891,48,5849,48,5898,48,5847
44,58,5873,46,5983,54,5982,50,5940,50,5989,49,5938
45,58,5920,46,6030,54,6029,50,5987,50,6036,49,5985
46,58,6065,46,6175,55,6174,50,6132,50,6181,50,6130
47,58,6138,46,6248,55,6247,50,6205,50,6254,50,6203
48,58,6202,46,6312,55,6311,50,6269,50,6318,51,6267
49,59,6243,46,6353,55,6352,50,6310,50,6359,51,6308
50,59,6306,46,6416,55,6415,50,6373,50,6422,51,6371
51,65,8761,52,9441,61,7643,56,8504,56,8967,56,7623
52,65,8825,53,9505,61,7707,57,8568,56,9031,56,7687
53,65,9113,53,9793,62,7995,57,8856,56,9319,56,7975
54,65,9374,53,10054,62,8256,57,9117,57,9580,57,8236
55,65,9446,53,10126,63,8328,57,9189,57,9652,57,8308
56,65,9464,53,10144,63,8346,57,9207,57,9670,57,8326
57,66,18168,54,18848,64,17050,58,17911,58,18374,63,14802
58,69,18376,55,19056,67,17258,60,18119,60,18582,65,15010
59,69,18394,56,19074,67,17276,60,18137,60,18600,65,15028
60,69,18438,56,19118,67,17320,60,18181,60,18644,65,15072
61,69,18474,56,19154,67,17356,60,18217,60,18680,65,15108
62,75,18506,62,19177,73,17388,66,18249,66,18712,70,15140
63,75,18794,62,19465,73,17676,66,18537,66,19000,70,15428
64,75,18903,62,19574,74,17785,66,18646,66,19109,71,15537
65,75,18923,62,19594,74,17805,66,18666,66,19129,71,15557
66,75,19128,62,19799,74,18010,66,18871,66,19334,71,15762
67,81,19198,68,19847,80,18058,72,18919,72,19382,77,15810
68,87,19200,74,19849,86,18059,78,18921,78,19384,83,15813
69,87,19457,74,20106,87,18316,79,19178,78,19641,84,16070
70,87,19510,74,20159,87,18369,79,19231,79,19694,84,16123
71,88,19530,74,20179,87,18389,79,19251,79,19714,85,16143
72,88,19546,74,20195,88,18405,79,19267,79,19730,85,16159
73,90,20132,76,20781,89,18991,80,19853,80,20316,86,16745
74,90,20179,76,20828,89,19038,80,19900,80,20363,86,16792
75,90,20229,76,20878,89,19088,80,19950,81,20413,86,16842
76,90,20247,76,20896,89,19106,80,19968,81,20431,86,16860
77,90,20439,76,21088,90,19298,81,20160,81,20623,87,17052
