benchmark number,best-d-time,best-d-properties,best/f-time,best/f-properties,base-time,base-properties,best-time,best-properties,best/f-d-time,best/f-d-properties,base+g-time,base+g-properties
1,0,46,0,46,0,46,0,46,0,46,0,46
2,0,130,0,130,0,130,0,130,0,130,0,130
3,6,281,6,284,6,284,6,283,6,283,6,283
4,6,1470,6,1473,6,1473,6,1472,6,1472,6,1472
5,6,1510,6,1513,6,1513,6,1512,6,1512,6,1512
6,6,1522,6,1525,6,1525,6,1524,6,1524,6,1524
7,6,1778,6,1781,6,1781,6,1780,6,1780,6,1780
8,6,1848,6,1851,6,1851,6,1850,6,1850,6,1850
9,6,1927,6,1930,6,1930,6,1929,6,1929,6,1929
10,6,2299,6,2302,6,2302,6,2301,6,2301,6,2301
11,6,2363,6,2366,6,2366,6,2365,6,2365,6,2365
12,6,16009,6,16012,10,16012,7,16011,7,16011,7,16011
13,7,16235,7,16238,11,16238,7,16237,8,16237,8,16237
14,7,16299,7,16302,11,16302,7,16301,8,16301,8,16301
15,9,16331,9,16334,14,16334,8,16333,13,16333,12,16333
16,10,17602,10,17605,15,17605,8,17604,13,17604,18,17604
17,10,17784,10,17787,17,17787,10,17786,14,17786,20,17786
18,10,17815,10,17818,18,17818,10,17817,14,17817,20,17817
19,10,17831,10,17834,18,17834,10,17833,14,17833,20,17833
20,10,17858,10,17861,18,17861,10,17860,14,17860,20,17860
21,17,18384,17,18388,24,18387,16,18383,20,18383,26,18387
22,17,18400,17,18404,24,18403,16,18399,20,18399,26,18403
23,17,18421,17,18425,24,18424,16,18420,20,18420,26,18424
24,17,18445,17,18449,24,18448,16,18444,20,18444,26,18448
25,17,18512,17,18516,24,18515,16,18511,20,18511,26,18515
26,17,18585,17,18589,24,18588,16,18584,20,18584,26,18588
27,17,18605,17,18609,24,18608,16,18604,21,18604,26,18608
28,17,18692,17,18696,24,18695,16,18691,21,18691,26,18695
29,17,18916,17,18920,25,18919,17,18915,22,18915,27,18919
30,17,19012,17,19016,25,19015,17,19011,22,19011,27,19015
31,17,19085,17,19089,25,19088,17,19084,22,19084,27,19088
32,20,19092,20,19096,25,19095,18,19085,28,19088,28,19095
33,26,20113,26,20121,31,20102,24,20102,34,20100,34,20106
34,26,20127,26,20135,31,20116,24,20116,34,20114,34,20120
35,26,20144,26,20152,32,20133,24,20133,34,20131,34,20137
36,26,20184,26,20192,32,20173,24,20173,34,20171,34,20177
37,32,20248,32,20256,38,20237,30,20237,40,20235,40,20241
38,32,20284,32,20292,38,20273,30,20273,40,20271,40,20277
39,32,20540,32,20548,38,20529,30,20529,40,20527,40,20533
40,32,20936,32,20944,38,20925,30,20925,40,20923,40,20929
41,32,20960,32,20968,38,20949,30,20949,40,20947,40,20953
42,32,21198,32,21206,39,21187,30,21187,40,21185,41,21191
43,33,21219,33,21227,39,21208,31,21208,41,21206,41,21212
44,33,21279,33,21287,39,21268,31,21268,41,21266,41,21272
45,33,21326,33,21334,39,21315,31,21315,41,21313,41,21319
46,33,21399,33,21407,39,21388,31,21388,42,21386,41,21392
47,33,21527,33,21535,39,21516,31,21516,42,21514,41,21520
48,34,21661,34,21669,40,21650,31,21650,42,21648,42,21654
49,34,21921,34,21929,40,21910,32,21910,42,21908,42,21914
50,34,21937,34,21945,40,21926,32,21926,42,21924,42,21930
51,34,21945,34,21953,40,21934,32,21934,42,21932,42,21938
52,35,30652,35,30660,43,30641,33,30641,44,30639,43,30645
53,35,30780,35,30788,43,30769,33,30769,44,30767,43,30773
