benchmark,best-time,best-properties,base+g-time,base+g-properties,best-d-time,best-d-properties,base-time,base-properties
6s377r,6,1,6,1,6,1,6,1
pdtvisns2p3,6,23,6,23,6,23,6,23
6s342rb122,12,608,12,543,12,575,12,81
6s343b08,18,646,18,568,18,602,18,105
6s187,19,724,24,626,24,660,24,163
6s186,25,776,30,678,30,712,30,215
6s185,31,824,36,726,36,760,36,264
6s367r,34,964,42,821,40,900,42,264
6s404rb1,39,978,48,833,44,914,48,276
dme6p1,39,985,48,840,44,921,48,283
6s188,45,1003,54,856,50,943,54,300
eijks344,45,1012,54,865,50,952,54,309
eijks349,45,1021,54,874,50,961,54,318
6s299b685,45,1373,54,1226,50,1313,54,670
bob3,45,1394,54,1247,50,1334,54,691
6s404rb4,46,1418,60,1260,56,1351,60,704
6s320rb1,47,1446,60,1288,57,1379,62,732
oc8051gmcadata,47,1454,60,1296,57,1387,62,740
bobsmcodic,49,1508,62,1350,60,1441,63,794
oc8051gm58addr,49,1518,62,1360,60,1451,63,804
6s160,49,1568,62,1410,60,1501,63,854
6s163,55,1721,68,1557,66,1654,69,1007
6s351rb02,61,1858,74,1695,72,1796,75,1143
pdtpmsusbphy,61,1865,74,1702,72,1803,75,1150
6s428rb098,61,2115,74,1952,72,2053,75,1400
eijkbs6669,63,2131,80,1952,74,2069,79,1416
6s341r,69,2174,86,1972,80,2092,85,1438
6s329rb19,75,2584,92,2380,86,2502,91,1848
oc8051gmdaaddr,75,2592,92,2388,86,2510,91,1856
oc8051gm3apc,75,2603,92,2399,86,2521,91,1867
6s38,81,2651,98,2445,92,2567,97,1911
oski15a08b00s,81,2664,98,2458,92,2580,97,1924
oc8051gm43acc,81,2674,98,2468,92,2590,97,1934
oc8051gm63iram,81,2686,98,2480,92,2602,97,1946
bobsmi2c,81,2754,98,2548,92,2670,97,2014
eijkbs1512,81,2798,98,2592,92,2714,97,2058
oski15a01b00s,82,2819,98,2613,92,2735,97,2079
6s191,82,2868,98,2662,92,2784,98,2128
6s372rb26,88,2987,104,2781,98,2903,104,2250
6s20,89,3012,105,2806,99,2928,106,2275
oc8051gm64pc,89,3021,105,2815,99,2937,106,2284
6s376r,95,3022,111,2816,105,2938,112,2285
6s37,101,3044,117,2834,111,2958,118,2306
bobsmhdlc3,101,3087,117,2877,111,3001,118,2349
6s316b460,101,3101,117,2891,111,3015,118,2363
oc8051gm3dpc,101,3109,117,2899,111,3023,118,2371
irstdme6,101,3119,117,2909,111,3033,118,2381
6s119,107,3418,123,3217,117,3357,124,2386
bobpcihm,113,3838,129,3637,123,3777,130,2805
eijkbs3271,114,3851,135,3648,123,3790,130,2818
bob12s09,114,3950,135,3747,123,3889,131,2917
oski15a08b08s,114,3963,135,3760,123,3902,131,2930
6s41,114,3970,141,3765,123,3909,137,2935
bobsmminiuart,120,3979,147,3770,129,3927,143,2941
oc8051gmb6acc,120,3991,147,3782,129,3939,143,2953
6s42,126,4022,153,3812,135,3970,149,2979
6s158,132,4027,159,3812,141,3975,155,2984
oc8051gm4biram,132,4036,159,3821,141,3984,155,2993
bobsmfpu,133,4066,165,3821,143,4014,159,3023
oc8051gm36addr,133,4076,165,3831,143,4024,159,3033
oc8051gma4pc,133,4086,165,3841,143,4034,159,3043
oc8051gm68addr,133,4095,165,3850,143,4043,159,3052
oc8051gm98addr,133,4102,165,3857,143,4050,159,3059
6s365r,139,4110,171,3865,149,4058,165,3067
6s22,145,4197,177,3902,155,4170,171,3111
6s322rb646,151,6195,183,5360,160,6323,177,4382
6s387rb291,151,6326,183,5491,160,6454,177,4513
oc8051gma6data,151,6335,183,5500,160,6463,177,4522
6s402rb0342,157,7453,189,6113,166,7192,183,5362
dme6p1neg,157,7460,189,6120,166,7199,183,5369
6s195,161,7534,194,6194,166,7273,189,5437
6s29,167,7674,200,6329,172,7410,195,5570
