Wall Time, R_N_tot_ge_63, R_N_tot_le_66, R_N_b_eq_0, R_N_b_ge_1, R_N_b_ge_2, R_N_b_ge_3, Hd_x_ge_0, Hd_x_lt_0, Hd_y_ge_0, Hd_y_lt_0, FG_x_N_ge_0, FG_x_N_lt_0, FG_y_N_ge_0, FG_y_N_lt_0, abs_p_gt_theta, abs_q_gt_theta, abs_r_gt_theta, abs_R_FG_x_gt_theta, abs_R_FG_y_gt_theta, abs_R_FG_z_gt_theta, R_N_tot_eq_64
1346770224,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
1346770225,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770226,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770227,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770228,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770229,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770230,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770231,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770232,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770233,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770234,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770235,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770236,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770237,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770238,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770239,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770240,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770241,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770242,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770243,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770244,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770245,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770246,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1346770247,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
